Source;Target;Value;GEO;Year;Tag
Agriculture;Primary Electricity, Hydro and Nuclear;3;Manitoba;2008;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;3;Manitoba;2011;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;3;Manitoba;2013;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;6;Manitoba;2002;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;5;Manitoba;2000;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;5;Manitoba;1996;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;5;Manitoba;1998;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;3;Manitoba;2015;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;3;Manitoba;2014;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;3;Manitoba;2007;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;5;Manitoba;1995;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;3;Manitoba;2016;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;6;Manitoba;2003;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;2;Manitoba;2010;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;6;Manitoba;2005;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;5;Manitoba;2006;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;5;Manitoba;1997;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;5;Manitoba;2001;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;2;Atlantic provinces;2014;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;1;Atlantic provinces;2000;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;2;Atlantic provinces;2002;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;1;Atlantic provinces;2001;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;2;Atlantic provinces;2004;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;2;Atlantic provinces;2013;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;2;Atlantic provinces;2006;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;2;Atlantic provinces;2007;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;2;Atlantic provinces;2008;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;2;Atlantic provinces;2011;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;1;Atlantic provinces;1999;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;2;Atlantic provinces;2015;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;1;Atlantic provinces;1998;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;1;Atlantic provinces;1997;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;1;Atlantic provinces;1996;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;2;Atlantic provinces;2012;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;1;Atlantic provinces;1995;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;2;Atlantic provinces;2009;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;1;Atlantic provinces;2003;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;2;Atlantic provinces;2016;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;2;Atlantic provinces;2005;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;2;Atlantic provinces;2010;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;35;Canada;2009;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;34;Canada;2011;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;35;Canada;2015;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;35;Canada;2001;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;34;Canada;2012;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;35;Canada;1998;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;34;Canada;2008;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;37;Canada;2005;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;34;Canada;2010;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;36;Canada;1997;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;35;Canada;1996;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;33;Canada;2007;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;34;Canada;1995;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;35;Canada;1999;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;35;Canada;2014;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;36;Canada;2016;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;35;Canada;2000;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;35;Canada;2002;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;36;Canada;2013;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;37;Canada;2004;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;36;Canada;2003;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;35;Canada;2006;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;1;Prince Edward Island;2012;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;0;Prince Edward Island;1995;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;1;Prince Edward Island;2010;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;0;Prince Edward Island;1999;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;0;Prince Edward Island;1997;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;1;Prince Edward Island;2009;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;1;Prince Edward Island;2013;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;1;Prince Edward Island;2011;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;1;Prince Edward Island;2005;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;1;Prince Edward Island;2008;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;0;Prince Edward Island;1998;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;1;Prince Edward Island;2006;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;1;Prince Edward Island;2014;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;0;Prince Edward Island;2001;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;1;Prince Edward Island;2004;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;1;Prince Edward Island;2007;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;1;Prince Edward Island;2003;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;1;Prince Edward Island;2015;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;1;Prince Edward Island;2016;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;0;Prince Edward Island;2000;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;1;Prince Edward Island;2002;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;0;Prince Edward Island;1996;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;0;Nova Scotia;2005;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;0;Nova Scotia;2001;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;0;Nova Scotia;1999;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;0;Nova Scotia;1995;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;0;Nova Scotia;2015;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;0;Nova Scotia;2013;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;0;Nova Scotia;2010;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;0;Nova Scotia;2009;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;0;Nova Scotia;2000;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;0;Nova Scotia;2016;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;0;Nova Scotia;2011;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;0;Nova Scotia;2008;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;0;Nova Scotia;2012;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;0;Nova Scotia;2006;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;0;Nova Scotia;1996;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;0;Nova Scotia;1997;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;0;Nova Scotia;2007;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;0;Nova Scotia;2002;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;0;Nova Scotia;2004;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;0;Nova Scotia;2014;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;0;Nova Scotia;1998;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;0;Nova Scotia;2003;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;0;Newfoundland and Labrador;2014;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;0;Newfoundland and Labrador;1998;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;0;Newfoundland and Labrador;2016;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;0;Newfoundland and Labrador;2013;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;0;Newfoundland and Labrador;2011;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;0;Newfoundland and Labrador;2010;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;0;Newfoundland and Labrador;2009;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;0;Newfoundland and Labrador;2008;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;0;Newfoundland and Labrador;2003;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;0;Newfoundland and Labrador;2004;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;0;Newfoundland and Labrador;2000;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;0;Newfoundland and Labrador;1996;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;0;Newfoundland and Labrador;1995;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;0;Newfoundland and Labrador;2006;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;0;Newfoundland and Labrador;2015;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;0;Newfoundland and Labrador;2007;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;0;Newfoundland and Labrador;2012;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;0;Newfoundland and Labrador;1997;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;0;Newfoundland and Labrador;2001;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;0;Newfoundland and Labrador;2005;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;0;Newfoundland and Labrador;2002;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;0;Newfoundland and Labrador;1999;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;3;British Columbia;1998;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;1;British Columbia;2006;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;2;British Columbia;2000;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;2;British Columbia;1999;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;3;British Columbia;2008;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;3;British Columbia;2011;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;3;British Columbia;2016;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;3;British Columbia;2009;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;1;British Columbia;2001;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;1;British Columbia;1996;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;2;British Columbia;2007;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;1;British Columbia;2005;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;1;British Columbia;2003;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;3;British Columbia;2015;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;3;British Columbia;2010;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;3;British Columbia;2013;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;3;British Columbia;2014;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;1;British Columbia;2002;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;1;British Columbia;2004;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;1;British Columbia;1997;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;3;British Columbia;2012;Super-Sankey
Agriculture;Primary Electricity, Hydro and Nuclear;1;British Columbia;1995;Super-Sankey
Agriculture;RPP;1;Yukon, Northwest Territories and Nunavut;2005;Super-Sankey
Agriculture;RPP;1;Yukon, Northwest Territories and Nunavut;2004;Super-Sankey
Agriculture;RPP;1;Yukon, Northwest Territories and Nunavut;2010;Super-Sankey
Agriculture;RPP;1;Yukon, Northwest Territories and Nunavut;2008;Super-Sankey
Agriculture;RPP;1;Yukon, Northwest Territories and Nunavut;2002;Super-Sankey
Agriculture;RPP;0;Yukon, Northwest Territories and Nunavut;2009;Super-Sankey
Agriculture;RPP;1;Yukon, Northwest Territories and Nunavut;2011;Super-Sankey
Agriculture;RPP;1;Yukon, Northwest Territories and Nunavut;2001;Super-Sankey
Agriculture;RPP;0;Yukon, Northwest Territories and Nunavut;1997;Super-Sankey
Agriculture;RPP;1;Yukon, Northwest Territories and Nunavut;2012;Super-Sankey
Agriculture;RPP;0;Yukon, Northwest Territories and Nunavut;2000;Super-Sankey
Agriculture;RPP;1;Yukon, Northwest Territories and Nunavut;2003;Super-Sankey
Agriculture;RPP;0;Yukon, Northwest Territories and Nunavut;2016;Super-Sankey
Agriculture;RPP;0;Yukon, Northwest Territories and Nunavut;2014;Super-Sankey
Agriculture;RPP;0;Yukon, Northwest Territories and Nunavut;1996;Super-Sankey
Agriculture;RPP;0;Yukon, Northwest Territories and Nunavut;2015;Super-Sankey
Agriculture;RPP;1;Yukon, Northwest Territories and Nunavut;2006;Super-Sankey
Agriculture;RPP;0;Yukon, Northwest Territories and Nunavut;2013;Super-Sankey
Agriculture;RPP;0;Yukon, Northwest Territories and Nunavut;1998;Super-Sankey
Agriculture;RPP;1;Yukon, Northwest Territories and Nunavut;2007;Super-Sankey
Agriculture;RPP;0;Yukon, Northwest Territories and Nunavut;1999;Super-Sankey
Agriculture;RPP;0;Yukon, Northwest Territories and Nunavut;1995;Super-Sankey
Agriculture;RPP;1;Northwest Territories;2007;Super-Sankey
Agriculture;RPP;0;Northwest Territories;2004;Super-Sankey
Agriculture;RPP;0;Northwest Territories;2016;Super-Sankey
Agriculture;RPP;0;Northwest Territories;1996;Super-Sankey
Agriculture;RPP;0;Northwest Territories;2005;Super-Sankey
Agriculture;RPP;0;Northwest Territories;2013;Super-Sankey
Agriculture;RPP;0;Northwest Territories;2000;Super-Sankey
Agriculture;RPP;0;Northwest Territories;2015;Super-Sankey
Agriculture;RPP;0;Northwest Territories;1998;Super-Sankey
Agriculture;RPP;1;Northwest Territories;2011;Super-Sankey
Agriculture;RPP;1;Northwest Territories;2010;Super-Sankey
Agriculture;RPP;0;Northwest Territories;2009;Super-Sankey
Agriculture;RPP;1;Northwest Territories;2002;Super-Sankey
Agriculture;RPP;0;Northwest Territories;2006;Super-Sankey
Agriculture;RPP;0;Northwest Territories;1995;Super-Sankey
Agriculture;RPP;1;Northwest Territories;2008;Super-Sankey
Agriculture;RPP;0;Northwest Territories;1997;Super-Sankey
Agriculture;RPP;0;Northwest Territories;2003;Super-Sankey
Agriculture;RPP;0;Northwest Territories;1999;Super-Sankey
Agriculture;RPP;1;Northwest Territories;2012;Super-Sankey
Agriculture;RPP;0;Northwest Territories;2014;Super-Sankey
Agriculture;RPP;1;Northwest Territories;2001;Super-Sankey
Agriculture;RPP;0;Yukon;2016;Super-Sankey
Agriculture;RPP;0;Yukon;2000;Super-Sankey
Agriculture;RPP;0;Yukon;2009;Super-Sankey
Agriculture;RPP;0;Yukon;1999;Super-Sankey
Agriculture;RPP;0;Yukon;2014;Super-Sankey
Agriculture;RPP;0;Yukon;2008;Super-Sankey
Agriculture;RPP;0;Yukon;2004;Super-Sankey
Agriculture;RPP;0;Yukon;2006;Super-Sankey
Agriculture;RPP;0;Yukon;2013;Super-Sankey
